date,content,headlines
2024-04-27 09:00:41+00:00,"Comprehensive Financial Consultants Institutional Inc. lifted its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.3% in the 4th quarter, according to the company in its most recent 13F filing… [+6768 chars]",Microsoft Co. (NASDAQ:MSFT) is Comprehensive Financial Consultants Institutional Inc.’s 2nd Largest Position
2024-04-27 09:00:43+00:00,"Compass Ion Advisors LLC raised its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.4% during the fourth quarter, according to the company in its most recent 13F filing with the Securities &a… [+6713 chars]",Microsoft Co. (NASDAQ:MSFT) Shares Purchased by Compass Ion Advisors LLC
2024-04-27 09:34:40+00:00,"Boston Trust Walden Corp lowered its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.6% in the fourth quarter, according to the company in its most recent Form 13F filing with the Securiti… [+6819 chars]",Microsoft Co. (NASDAQ:MSFT) Position Decreased by Boston Trust Walden Corp
2024-04-27 09:34:40+00:00,"Kranot Hishtalmut Le Morim Tichoniim Havera Menahelet LTD cut its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 15.8% in the fourth quarter, according to the company in its most recent dis… [+6894 chars]",Kranot Hishtalmut Le Morim Tichoniim Havera Menahelet LTD Lowers Stake in Microsoft Co. (NASDAQ:MSFT)
2024-04-27 10:06:46+00:00,"Mascoma Wealth Management LLC trimmed its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.9% during the fourth quarter, according to its most recent 13F filing with the Securitie… [+7149 chars]",Mascoma Wealth Management LLC Sells 221 Shares of Microsoft Co. (NASDAQ:MSFT)
2024-04-27 12:00:59+00:00,"Magnificent Seven member Nvidia (NVDA) leads this week's list of stocks to watch, along with fellow artificial intelligence plays Datadog (DDOG) and Dell Technologies (DELL). Dow Jones retailer Walma… [+7254 chars]",Nvidia Leads Three AI Plays Rebounding Near Buy Points
2024-04-28 05:14:42+00:00,Microsoft Co. (NASDAQ:MSFT – Get Free Report)’s share price rose 2.5% during trading on Friday after the company announced better than expected quarterly earnings. The stock traded as high as $413.00… [+6077 chars],Microsoft (NASDAQ:MSFT) Stock Price Up 2.5% on Earnings Beat
2024-04-28 10:12:41+00:00,"Morgan Dempsey Capital Management LLC lowered its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 14.0% during the fourth quarter, according to the company in its most recent disclosu… [+6827 chars]",Morgan Dempsey Capital Management LLC Decreases Stock Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-04-28 10:12:42+00:00,"Arkadios Wealth Advisors increased its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.7% during the 4th quarter, according to its most recent Form 13F filing with the Securities… [+7077 chars]",Arkadios Wealth Advisors Boosts Stock Holdings in Microsoft Co. (NASDAQ:MSFT)
2024-04-28 10:50:44+00:00,"Legacy Trust grew its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.9% during the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commiss… [+6763 chars]","Legacy Trust Purchases 1,285 Shares of Microsoft Co. (NASDAQ:MSFT)"
