Date,Open,High,Low,Close,Adj Close,Volume,Change (%)
2020-01-02,16.012500762939453,16.04424285888672,15.951299667358398,16.010299682617188,16.010299682617188,0,-0.0124597173526221
2020-01-03,16.008100509643555,16.02522850036621,16.000499725341797,16.00909996032715,16.00909996032715,0,-0.0074934405590273
2020-01-06,16.010356903076172,16.071245193481445,15.913290023803713,16.010499954223633,16.010499954223633,0,0.0087449881626934
2020-01-07,16.04450035095215,16.060373306274414,16.009899139404297,16.04439926147461,16.04439926147461,0,0.2117317219818222
2020-01-08,16.045499801635742,16.073009490966797,15.94800853729248,16.038799285888672,16.038799285888672,0,-0.0349029932169789
2020-01-09,15.996800422668455,16.03316307067871,15.80079460144043,15.999699592590332,15.999699592590332,0,-0.2437819228322204
2020-01-10,15.965399742126465,15.9795560836792,15.949999809265137,15.96269989013672,15.96269989013672,0,-0.2312524822075304
2020-01-13,15.826759338378906,15.974533081054688,15.8125,15.82640266418457,15.82640266418457,0,-0.8538482016840139
2020-01-14,15.90149974822998,15.913878440856934,15.787500381469728,15.900099754333496,15.900099754333496,0,0.4656591375354274
2020-01-15,15.857538223266602,15.887812614440918,15.75749969482422,15.848199844360352,15.848199844360352,0,-0.3264124802676125
2020-01-16,15.8302001953125,15.856517791748049,15.731300354003906,15.82919979095459,15.82919979095459,0,-0.1198877701717205
2020-01-17,15.801600456237791,15.815185546875,15.692030906677246,15.800399780273438,15.800399780273438,0,-0.1819423032212264
2020-01-20,15.800408363342283,15.81999969482422,15.704999923706056,15.80097770690918,15.80097770690918,0,0.0036576709689568
2020-01-21,15.753899574279783,15.799599647521973,15.697500228881836,15.753700256347656,15.753700256347656,0,-0.2992058557291095
2020-01-22,15.77427864074707,15.810279846191406,15.71500015258789,15.770010948181152,15.770010948181152,0,0.1035356238095491
2020-01-23,15.777047157287598,15.829999923706056,15.704999923706056,15.777047157287598,15.777047157287598,0,0.044617655178336
2020-01-24,15.74679183959961,15.784292221069336,15.636609077453612,15.739999771118164,15.739999771118164,0,-0.2348182508430989
2020-01-27,15.777634620666504,15.79446506500244,15.697500228881836,15.777992248535156,15.777992248535156,0,0.2413753365276778
2020-01-28,15.767502784729004,15.804367065429688,15.729999542236328,15.76743221282959,15.76743221282959,0,-0.0669288939886937
2020-01-29,15.768500328063965,15.811362266540527,15.71500015258789,15.776556968688965,15.776556968688965,0,0.0578709059040723
2020-01-30,15.783069610595703,15.815884590148926,15.66444492340088,15.776100158691406,15.776100158691406,0,-0.0028954986722718
2020-01-31,15.77239990234375,15.786514282226562,15.760000228881836,15.772199630737305,15.772199630737305,0,-0.0247242849301554
2020-02-03,15.785510063171388,15.819127082824709,15.739999771118164,15.784727096557615,15.784727096557615,0,0.079427512418107
